video_id,comment,processed_comment,analyzed_sentiment,sarcasm
KGn-erOG-Bs,Sonam bajwa looking ❤️ in this song,sonam bajwa looking in this song,positive,Sarcastic
KGn-erOG-Bs,This song needed more Chitrangada screen time.,this song needed more chitrangada screen time,positive,Sarcastic
KGn-erOG-Bs,Every housefull movie 🔥🔥 ❤❤,every housefull movie,positive,Sarcastic
KGn-erOG-Bs,Where is G-yan,where is yan,negative,Sarcastic
KGn-erOG-Bs,Only for honey singh and sonam banjwa ❤,only for honey singh and sonam banjwa,neutral,Sarcastic
KGn-erOG-Bs,Yo Yo Honey singh ❤❤❤❤❤❤❤,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,This movie should be a blockbuster,this movie should be blockbuster,positive,Sarcastic
KGn-erOG-Bs,Ek hi song mein poori movie ka promotion ho gaya this is the power of yo yo paaji ❤❤,ek hi song mein poori movie ka promotion ho gaya this is the power of yo yo paaji,positive,Sarcastic
KGn-erOG-Bs,Housefull 5 release hote to 100million pahucha do isko,housefull release hote to million pahucha do isko,neutral,Sarcastic
KGn-erOG-Bs,63M on 23.05.2025 at 9 am,on at am,neutral,Sarcastic
KGn-erOG-Bs,Whos nora fatehi when Jacqueline is here,whos nora fatehi when jacqueline is here,neutral,Sarcastic
KGn-erOG-Bs,"Take care of 
Body :-exercise
Mind :-sleep if at at least 7hr 
Soul:- meditation

Joined a good institution even if its cost little bit of money and just follow them 
. Dont go beyond dpps, module and pyq of mains and advance this much is enough for getting any rank you want",take care of body exercise mind sleep if at at least hr soul meditation joined good institution even if its cost little bit of money and just follow them dont go beyond dpps module and pyq of mains and advance this much is enough for getting any rank you want,positive,Sarcastic
KGn-erOG-Bs,His on 🔥🔥💯💯💯💯💯💯,his on,neutral,Sarcastic
KGn-erOG-Bs,.honey singh is back,honey singh is back,neutral,Sarcastic
KGn-erOG-Bs,Real honey singh is back🔥🔥🔥🔥🔥,real honey singh is back,positive,Sarcastic
KGn-erOG-Bs,Ruhela fresco burail,ruhela fresco burail,neutral,Sarcastic
KGn-erOG-Bs,Love from Bangladesh ❤,love from bangladesh,positive,Sarcastic
KGn-erOG-Bs,"If this is call music, then I am never gonna listen to music..",if this is call music then am never gonna listen to music,neutral,Sarcastic
KGn-erOG-Bs,Honey Singh Bluetooth era back,honey singh bluetooth era back,neutral,Sarcastic
KGn-erOG-Bs,Real Gabbar is back SD,real gabbar is back sd,positive,Sarcastic
KGn-erOG-Bs,Why chitrangda Singh is background dancer,why chitrangda singh is background dancer,neutral,Sarcastic
KGn-erOG-Bs,"Beautiful Song❤
I Like to say thanks for my lovely ❤ 34 ❤ unique subscribers. 🎉🎉🎉",beautiful song like to say thanks for my lovely unique subscribers,positive,Sarcastic
KGn-erOG-Bs,Glad they didn't choose Neha Kakkar for this song..!!😭🙏🏻😂😂🔥🔥🔥❤️❤️,glad they didn choose neha kakkar for this song,positive,Sarcastic
